"patient","p-a-sh-t","pazt","","2239",""
"gay","g-a","ga","","2241",""
"source","s2-o-s","sos","","2242",""
"anxiety","a-ng-s-i","angsi","","2243",""
"domestic","tm-/-s2-t","tmst","","2246",""
"abroad","a-br-o-d","abrod","","2247",""
"division","df-e-sh","dfez","","2250",""
"unhappy","u-n-^-h-\-a-p-e","unhape","","2251",""
"fatal","f-a-t-l","fatl","","2253",""
"effects","f-k-s","fks","","2254",""
"forgot","f-g-t","fgt","","2256",""
"ends","nt-s","nts","","2257",""
"win","u-e-n","uen","","2259",""
"sang","s2-a-ng","sag","","2261",""
"guilty","g-e-l-t-e","gelte","","2263",""
"lack","l-a-k","lak","","2264",""
"doctrine","d-o-k-t","dokt","","2265",""
"belong","bl-ng","blg","","2267",""
"slept","s-l-e-p-t","slept","","2268",""
"library","l-i-br-r-e","librre","","2273",""
"slightly","s-l-ia","slia","","2274",""
"conclusion","k-k-sh","kkz","","2275",""
"range","r-a-n-j","ranj","","2278",""
"changes","ch-s","cs","","2280",""
"habits","^-h-\-a-b-t-s","habts","","2281",""
"lately","l-a-t-e","late","","2282",""
"temper","tm-p-r","tmpr","","2284",""
"afford","a-f-d","afd","","2288",""
"render","r-e-nt","rent","","2289",""
"departure","d-p-t-r","dptr","","2290",""
"qualities","k-u-s","qus","","2292",""
"hence","^-h-\-e-n-s","hens","","2293",""
"gets","g-e-t-s","gets","","2297",""
"painted","p-a-nt-d","pantd","","2298",""
"utmost","u-t-m-o","utmo","","2299",""
"image","e-m-j","emj","","2301",""
"sentiment","s2-e-nt-e-m","sentem","","2303",""
"ruin","r-u-n","run","","2304",""
"resolution","r-s2-o-l-s2h","rsolsh","","2305",""
"belonged","bl-ng-/-t","blngt","","2306",""
"argument","a-g-m","agm","","2307",""
"arise","a-r-i-s","aris","","2308",""
"melancholy","m-e-l-a-n","melan","","2309",""
"maid","m-a-d","mad","","2310",""
"wet","u-e-t","uet","","2311",""
"regret","r-e-g","reg","","2312",""
"thence","th-e-n-s","hens","","2315",""
"strongly","s2-t-r-e","stre","","2318",""
"compliance","k-pl-i-n-s","kplins","","2319",""
"governor","g-v-/-r","gvr","","2320",""
"curiosity","k-e-u-/-s","kus","","2321",""
"lighted","l-i-/-t","lit","","2322",""
"reference","r-f","rf","","2323",""
"rapid","r-a-p-d","rapd","","2328",""
"waste","u-a-s2-t","uast","","2331",""
"defective","df-e-k-v","dfekv","","2332",""
"ball","b-o-l","bol","","2334",""
"behold","b-o2-ld","bold","","2335",""
"families","f-a-m-ya-s","famyas","","2337",""
"desert","d-s2-e2-t","dset","","2339",""
"hitherto","^-h-\-e-th-t-u","hehtu","","2343",""
"branch","br-a-n-ch","branc","","2345",""
"necessarily","n-e-ss-e","nesse","","2346",""
"mounted","mn-td","mntd","","2347",""
"midnight","m-e-d-n-i","medni","","2355",""
"retired","r-e-t-i2-d","retid","","2356",""
"possess","p-o-ss","poss","","2358",""
"occasionally","k-a-sh-ye","kazye","","2359",""
"dared","d-a2-d","dad","","2361",""
"plant","pl-a-nt","plant","","2363",""
"shade","sh-a-d","zad","","2364",""
"acted","a-k-t","akt","","2365",""
"cloud","k-l-a-u","klw","","2366",""
"plainly","pl-a-n-e","plane","","2367",""
"ashamed","a-sh-a-mt","azamt","","2368",""
"expedition","e-s-p-t-sh","xptz","","2369",""
"reasonable","r-s2-n-b","rsnb","","2370",""
"press","p-r-e-s","pres","","2371",""
"thanks","th-/-s","hs","","2374",""
"profit","p-r-f-t","prft","","2377",""
"proceed","p-r-s-e","prse","","2378",""
"forgive","f-g-e","fge","","2380",""
"begged","b-g-d","bgd","","2381",""
"utter","u-t-e2","ute","","2382",""
"triumph","t-r-i-m-f","trimf","","2383",""
"sand","s2-a-nt","sant","","2384",""
"reality","r-e-/-l","rel","","2385",""
"permanent","p-r-mn","prmn","","2387",""
"university","e-u-n-v-e-s2-t-e","unveste","","2388",""
"limitation","l-e-m-sh","lemz","","2389",""
"distinct","d-s2-t","dst","","2393",""
"reputation","r-p-u-sh","rpuz","","2394",""
"harm","^-h-\-a2-m","ham","","2396",""
"listening","l-e-s2-n-\-h","lesng","","2397",""
"agreeable","^-yab","yab","","2399",""
"suggestion","s2-u-j","suj","","2403",""
"comfortable","k-f-t-b","kftb","","2404",""
"Egypt","e-j-e-p","ejep","","2408",""
"classes","k-l-a-ss","klass","","2409",""
"measures","m-e-sh-u-s","mezus","","2412",""
"confusion","k-f-e-u-sh","kfuz","","2415",""
"equivalent","e-k-w-e-v","ekwev","","2420",""
"shop","sh-o-p","zop","","2422",""
"recent","r-s","rs","","2423",""
"probable","p-r-b","prb","","2424",""
"frank","fr-a-nk","frank","","2426",""
"majority","m-a-j-/-r","majr","","2429",""
"catholic","k-a-th","kah","","2431",""
"preserve","p-r-e-s2-e-v","presev","","2432",""
"risk","r-e-s2-k","resk","","2433",""
"major","m-a-j-e2","maje","","2435",""
"dreams","d-r-e-m-s","drems","","2437",""
"flower","fl-r","flr","","2439",""
"appeal","a-p-e-l","apel","","2440",""
"sugar","sh-u-g-r","zugr","","2443",""
"asleep","a-s-l-e-p","aslep","","2446",""
"violence","v-i-l-e-n-s","vilens","","2447",""
"male","m-a2","ma","","2449",""
"spare","s-p-a-r","spar","","2453",""
"announced","a-n-n-s2-t","annst","","2455",""
"solid","s2-o-l-e-d","soled","","2457",""
"poem","p-o-e-m","pym","","2458",""
"Elizabeth","e-l-e-s-b-th","elesbh","","2460",""
"blame","bl-a-m","blam","","2461",""
"assumed","a-s2-m-/-t","asmt","","2464",""
"magnificent","m-/-f","mf","","2465",""
"benefit","b-n-f","bnf","","2467",""
"household","^-h-\-u-s-/-o-ld","husold","","2470",""
"disposition","d-s-p-o-sh","dspoz","","2471",""
"estate","e-s2-t","est","","2473",""
"painful","p-a-n-f","panf","","2474",""
"rolled","r-o-ld","rold","","2476",""
"Boston","b-o-s","bos","","2477",""
"hem","^-h-\-e-m","hem","","2479",""
"towns","t-n-s","tns","","2481",""
"gun","g-n","gn","","2482",""
"destruction","d-s-/-k-sh","dskz","","2487",""
"bosom","b-u-s2-m","busm","","2488",""
"corps","k-o-r","kor","","2489",""
"speed","s-p-d","spd","","2490",""
"market","m-r","mr","","2491",""
"punishment","p-n-sh-m","pnzm","","2492",""
"kitchen","k-e-ch-n","kecn","","2493",""
"noon","n-u-n","nun","","2495",""
"finger","f-e2-ng-e2","fenge","","2497",""
"handed","^-h-\-nt-d","hntd","","2498",""
"attempted","a-tm-td","atmtd","","2499",""
"frequent","fr-e-k","frek","","2500",""
"suspicion","ss-/-sh","ssz","","2503",""
"ages","a-j-s","ajs","","2504",""
"keen","k-e-n","ken","","2505",""
"fame","f-a-m","fam","","2506",""
"opposition","o-p-o-sh","opoz","","2507",""
"design","d-s2-i-n","dsin","","2508",""
"philosophy","f-e-l-o-s","felos","","2509",""
"gaze","g-a-s","gas","","2510",""
"grant","g-r-a-nt","grant","","2511",""
"patience","p-a-sh-n-s","pazns","","2513",""
"horror","^-h-\-o-r-r","horr","","2515",""
"stairs","s2-t-ya2","stya","","2516",""
"hero","^-h-\-e-r-o","hero","","2517",""
"emotion","e-m-o-sh","emoz","","2521",""
"lonely","l-o-n-e","lone","","2522",""
"somewhere","s2-m-a2","sma","","2525",""
"wretched","r-e-ch-d","recd","","2526",""
"secretary","s2-e-k-/-r-e","sekre","","2527",""
"delightful","d-l-i-f","dlif","","2528",""
"ignorance","e-g","eg","","2529",""
"lieu","l-u","lu","","2530",""
"lights","l-i-s","lis","","2531",""
"beloved","bl-v-d","blvd","","2534",""
"costs","k-o-s-s","koss","","2536",""
"error","e-r-r","err","","2538",""
"disease","d-s2-e-s2","dses","","2539",""
"mystery","m-e-s2-t-r-e","mestre","","2541",""
"smooth","s2-m-u-th","smuh","","2542",""
"cease","s-e-s","ses","","2544",""
"accident","a-k-s","aks","","2545",""
"nevertheless","n-v-l","nvl","","2546",""
"selected","s-e-l-e-k-t","selekt","","2548",""
"hundreds","^-h-\-u-nt-s","hunts","","2549",""
"prefer","p-r-e-f","pref","","2553",""
"confirmed","k-f-e-m-/-t","kfemt","","2555",""
"reward","r-e-/-d","red","","2557",""
"smaller","s2-m-o-r","smor","","2558",""
"baby","b-a-b-e","babe","","2559",""
"corn","k-o-n","kon","","2560",""
"burned","b-e2-n-/-t","bent","","2562",""
"essential","e-s2-n-sh","esnz","","2563",""
"circumstance","s2-/-s2-tn-s2","sstns","","2565",""
"mixed","m-e-x-t","mext","","2566",""
"delay","d-l-a","dla","","2567",""
"artist","a2-t-e-s","ates","","2568",""
"agent","a-j","aj","","2570",""
"cloth","k-l-o-th","kloh","","2572",""
"independent","nt-p","ntp","","2575",""
"issue","e-sh-u","ezu","","2576",""
"wooden","u-u-tn","uutn","","2579",""
"maintain","mn-tn","mntn","","2580",""
"knight","n-i","ni","","2581",""
"readers","r-e-d-ye2","redye","","2582",""
"charm","ch-a2-m","cam","","2585",""
"treat","t-r-e-t","tret","","2588",""
"apparent","a-p-r-nt","aprnt","","2589",""
"career","k-r-e-r","krer","","2590",""
"weakness","e-k-n-e-s","eknes","","2594",""
"travel","t-r-a-v","trav","","2595",""
"substance","s-s2-tn-s","sstns","","2597",""
"frame","fr-a-m","fram","","2598",""
"notion","n-o-sh","noz","","2599",""
"sheep","sh-e-p","zep","","2601",""
"accordance","a-k-r-n-s","akrns","","2603",""
"alike","a-l-a","ala","","2604",""
"horrible","^-h-\-o-r-b","horb","","2606",""
"hole","^-h-\-o-l","hol","","2607",""
"eggs","e-g-s","egs","","2608",""
"perform","p-r-f-m","prfm","","2610",""
"misery","m-s-e-r-e","msere","","2612",""
"scheme","s2-k-e-m","skem","","2614",""
"enormous","e-n-o-m","enom","","2616",""
"pause","p-o-s","pos","","2617",""
"key","k-e","ke","","2619",""
"mortal","m-o-t-l","motl","","2621",""
"merry","m-e-r-e","mere","","2622",""
"atmosphere","a-t-m-o-s","atmos","","2624",""
"oil","o-e-l","yl","","2628",""
"assure","a-sh-u","azu","","2632",""
"nervous","n-e-v-u-s","nevus","","2633",""
"distinction","d-s2-t-sh","dstz","","2634",""
"vague","v-a-g","vag","","2638",""
"dawn","d-o-n","don","","2639",""
"claims","k-l-a-m-s","klams","","2641",""
"farm","f-a2-m","fam","","2643",""
"trace","t-r-a-s","tras","","2644",""
"opposed","o-p-o-/-t","opot","","2646",""
"permit","p-r-m-e-t","prmet","","2648",""
"stronger","s2-t-r-r","strr","","2649",""
"deny","tn-i","tni","","2652",""
"constitution","k-s2-t-sh","kstz","","2654",""
"entering","n-/-\-h","ng","","2661",""
"verse","v-e-s","ves","","2662",""
"leader","l-e2-d-e2","lede","","2663",""
"charged","ch-j-d","cjd","","2664",""
"dim","d-e-m","dem","","2666",""
"derive","d-r-i","dri","","2667",""
"throat","th-r-o-t","hrot","","2668",""
"hit","^-h-\-e-t","het","","2669",""
"desperate","d-s-p-r-a","dspra","","2670",""
"meal","m-e-l","mel","","2672",""
"impulse","m-pl-s","mpls","","2673",""
"available","a-v-a-l-b","avalb","","2674",""
"conviction","k-v-e-k-sh","kvekz","","2679",""
"declare","d-e-/-r","der","","2680",""
"Russia","r-sh-a","rza","","2682",""
"port","p-o-t","pot","","2685",""
"ideal","a-d-e-l","adel","","2686",""
"haste","^-h-\-a-s2-t","hast","","2691",""
"route","r-u-t","rut","","2692",""
"dread","d-r-e-d","dred","","2693",""
"stayed","s2-t-a-d","stad","","2695",""
"bell","b-e-l","bel","","2698",""
"clever","k-l-e-v","klev","","2699",""
"decision","d-s-e-sh","dsez","","2702",""
"aspect","a-s-p-k","aspk","","2703",""
"western","u-e-s2-tn","uestn","","2704",""
"Bible","b-i-b","bib","","2705",""
"insisted","n-ss-/-t","nsst","","2706",""
"exist","e-s-e-s","xes","","2709",""
"silk","s-e-l-k","selk","","2711",""
"northern","n-o-th-e-n","nohen","","2714",""
"leaned","l-e-nt","lent","","2717",""
"vote","v-t","vt","","2724",""
"steady","s2-td-e","stde","","2729",""
"falls","f-o-s","fos","","2731",""
"rush","r-sh","rz","","2733",""
"discussion","d-s2-k-sh","dskz","","2736",""
"referred","r-f-/-t","rft","","2739",""
"idle","a-d-l","adl","","2740",""
"yield","e-l-d","eld","","2741",""
"characteristic","k-a-k-/-s2-t","kakst","","2745",""
"rear","r-e-r","rer","","2747",""
"ambition","a-m-b","amb","","2750",""
"profound","p-r-f-nt","prfnt","","2752",""
"occur","o-k-r","okr","","2753",""
"observation","o-b-s-e-sh","obsez","","2757",""
"sensible","s2-e-n-s-b","sensb","","2758",""
"comment","k-mn-t","kmnt","","2759",""
"senate","s2-e-n-a-t","senat","","2760",""
"scientific","s2-ia-n-df","siandf","","2761",""
"burden","b-e2-tn","betn","","2765",""
"scenes","s2-e-n-s","sens","","2766",""
"district","d-s-/-k","dsk","","2767",""
"ocean","o-sh","oz","","2774",""
"communication","k-m-u","kmu","","2775",""
"rested","r-e-s-/-t","rest","","2776",""
"uniform","e-u-n-f-m","unfm","","2778",""
"gratitude","g-r-a-t","grat","","2779",""
"council","k-s-e-l","ksel","","2780",""
"humanity","^-h-\-e-u-m-/-nt","humnt","","2783",""
"mankind","m-a-n-k-i","manki","","2784",""
"perceive","p-r-s-e","prse","","2787",""
"useless","e-u-l","ul","","2788",""
"enthusiasm","n-th-u-s","nhus","","2789",""
"exceedingly","e-s2-e-d-/-e","xede","","2790",""
"fix","f-e-x","fex","","2792",""
"venture","v-nt-r","vntr","","2794",""
"Christmas","k-r-e-s","kres","","2795",""
"critical","k-r-/-ya","krya","","2797",""
"nearest","n-e2-/-s2-t","nest","","2799",""
"errors","e-r-r-s","errs","","2801",""
"notwithstanding","n-e-th-s","nehs","","2802",""
"hers","e-r-s","ers","","2804",""
"shake","sh-a-k","zak","","2805",""
"staff","s2-t-a-f","staf","","2808",""
"southern","s2-u-th-e-n","suhen","","2811",""
"prospect","p-r-p-k","prpk","","2812",""
"instrument","n-s-/-m","nsm","","2813",""
"territory","t-e-r-e","tere","","2816",""
"continually","k-tn-l-e","ktnle","","2818",""
"slightest","s-l-i-s2-t","slist","","2821",""
"odd","o-d","od","","2822",""
"cheerful","ch-e2-f","cef","","2823",""
"pipe","p-i-p","pip","","2824",""
"somehow","s2-m-a-u","smw","","2826",""
"luck","l-u-k","luk","","2827",""
"hurry","^-h-\-e-r-e","here","","2828",""
"sole","s2-o-l","sol","","2829",""
"cap","k-a-p","kap","","2830",""
"grateful","g-r-a-t-f","gratf","","2831",""
"capacity","k-a-p-/-s2","kaps","","2832",""
"daughters","d-o-t-ye2","dotye","","2833",""
"edition","e-d-sh","edz","","2837",""
"arrangement","a-r-a","ara","","2838",""
"settle","s2-e-t-l","setl","","2842",""
"counsel","k-s-e-l","ksel","","2847",""
"interview","n-/-v-e-u","nvu","","2848",""
"community","k-/-nt","knt","","2849",""
"organization","o-g","og","","2850",""
"nights","n-i-s","nis","","2851",""
"bless","bl-e-s","bles","","2852",""
"seriously","s-e-r-s-e","serse","","2853",""
"display","d-s-pl-a","dspla","","2857",""
"accordingly","a-k-r-/-e","akre","","2858",""
"college","k-o-l-e-j","kolej","","2859",""
"incident","n-s2-e-tn","nsetn","","2863",""
"correct","k-r","kr","","2866",""
"pen","p-n","pn","","2868",""
"fearful","f-e-r-f","ferf","","2872",""
"supreme","s-/-m","sm","","2873",""
"pressure","p-r-e-sh-u","prezu","","2874",""
"prevented","p-r-e-v-nt-d","prevntd","","2875",""
"infinite","n-f-e-n-e-t","nfenet","","2877",""
"contains","k-tn-s","ktns","","2878",""
"noted","n-o-td","notd","","2879",""
"multitude","m-u-/-t-u","mutu","","2881",""
"rid","r-e-d","red","","2882",""
"senses","s2-e-n-ss","senss","","2883",""
"defend","df-nt","dfnt","","2884",""
"hang","^-h-\-a-ng","hag","","2885",""
"deed","d-e-d","ded","","2891",""
"chain","ch-a-n","can","","2894",""
"writes","r-i-s","ris","","2895",""
"knife","n-i-f","nif","","2896",""
"Mississippi","m-e-ss","mess","","2897",""
"studied","s2-td-e-d","stded","","2898",""
"maintained","mn-tn-d","mntnd","","2899",""
"fears","f-e-r-s","fers","","2900",""
"annual","a-n-l","anl","","2904",""
"failure","f-a-l-r","falr","","2907",""
"commerce","k-m-ye2","kmye","","2908",""
"consequently","k-s2-e-k-e","kseke","","2909",""
"confined","k-f-i-nt","kfint","","2912",""
"issued","e-sh-u-d","ezud","","2913",""
"widow","u-e-d-o","uedo","","2916",""
"repeat","r-p-e","rpe","","2918",""
"industry","nt-s","nts","","2920",""
"arrive","a-r-i","ari","","2922",""
"Saturday","s2-a-t","sat","","2923",""
"intense","n-tn-s","ntns","","2926",""
"somebody","s2-m-b-o","smbo","","2928",""
"intimate","n-tm-a-t","ntmat","","2930",""
"hated","^-h-\-a-td","hatd","","2931",""
"contempt","k-tm-t","ktmt","","2932",""
"unusual","nu-sh","nuz","","2933",""
"holds","^-h-\-o-ld-s","holds","","2934",""
"suspected","ss-/-k-t","sskt","","2936",""
"landed","l-a-nt-d","lantd","","2939",""
"ate","a-t","at","","2942",""
"moreover","^-m-o","mo","","2944",""
"merit","m-e2-t","met","","2945",""
"stir","s2-t-e2","ste","","2946",""
"intelligent","n-/-jnt","njnt","","2947",""
"Africa","a-fr","afr","","2948",""
"gross","g-r-o-s","gros","","2950",""
"average","a-v-r-j","avrj","","2951",""
"meanwhile","mn-i2","mni","","2954",""
"damage","tm-j","tmj","","2956",""
"element","e-l-e-m","elem","","2957",""
"coffee","k-o-f-e","kofe","","2961",""
"exception","s-e-p-sh","sepz","","2966",""
"bid","b-d","bd","","2967",""
"largely","l-a-j-e","laje","","2972",""
"sailed","s-a-ld","sald","","2976",""
"fever","f-e-v-r","fevr","","2979",""
"announcement","a-n-n-s2-m","annsm","","2980",""
"problem","p-r-bl","prbl","","2981",""
"parted","p-t-/-t","ptt","","2982",""
"tent","tn-t","tnt","","2985",""
"signed","s2-i-nt","sint","","2989",""
"cent","s2-e-nt","sent","","2990",""
"debt","td","td","","2991",""
"passes","p-a-ss","pass","","2997",""
"sounded","s2-nt-d","sntd","","2999",""
"cape","k-a-p","kap","","3000",""
"scarce","s2-k-r-s","skrs","","3001",""
"provision","p-r-v-e-sh","prvez","","3004",""
"generation","j-e-n-r-a-sh","jenraz","","3005",""
"sisters","ss2-t-ye2","sstye","","3007",""
"profession","p-r-f-e-sh","prfez","","3008",""
"conducted","k-d-u-k-t","kdukt","","3013",""
"queer","k-w-e-r","qwer","","3021",""
"interior","n-/-o-r","nor","","3023",""
"cook","k-u-k","kuk","","3025",""
"holder","^-h-\-o-ld-r","holdr","","3026",""
"residence","r-e-s2-e-tn-s","resetns","","3027",""
"harmless","^-h-\-a2-m-l","haml","","3028",""
"gifts","g-e-f-t-s","gefts","","3030",""
"establishment","e-s2-t-b-m","estbm","","3031",""
"execution","e-s2-k-sh","xkz","","3032",""
"swear","s2-u-a-r","suar","","3033",""
"nurse","n-e-r-s","ners","","3034",""
"shed","sh-e-d","zed","","3035",""
"cabin","k-a-b-n","kabn","","3036",""
"obey","o-b-a","oba","","3039",""
"marks","m-a-r-k-s","marks","","3043",""
"completed","kp-/-t","kpt","","3044",""
"aim","a-m","am","","3046",""
"supplied","s-pl-i-d","splid","","3048",""
"politics","p-o-l-/-a-s","polas","","3051",""
"standard","s2-tn-a-d","stnad","","3053",""
"possibility","p-o-s-/-b","posb","","3054",""
"pains","p-a-n-s","pans","","3055",""
"alarm","a-l-a-m","alam","","3056",""
"empire","m-p-i","mpi","","3058",""
"masters","m-a-s-s","mass","","3059",""
"crew","k-r-u","kru","","3060",""
"signal","s2-g-n","sgn","","3063",""
"row","r-o","ro","","3064",""
"outer","a-u-r","wr","","3065",""
"hid","^-h-\-e-d","hed","","3068",""
"operation","o-p-r-a-sh","opraz","","3069",""
"lamp","l-a-m-p","lamp","","3070",""
"pull","p-u-l","pul","","3071",""
"tail","t-a-l","tal","","3072",""
"exists","e-ss-s","xss","","3073",""
"reflection","r-fl-sh","rflz","","3074",""
"quarrel","k-w-o-r-e-l","qworel","","3076",""
"forever","f-/-e-v","fev","","3077",""
"rarely","r-a-r-e","rare","","3078",""
"torn","t-o-r-n","torn","","3079",""
"bar","b-a-r","bar","","3081",""
"oath","o-th2","oh","","3084",""
"registered","r-e2-j-e2-s2-t-e2-d","rejested","","3085",""
"security","s2-e-k-/-r","sekr","","3086",""
"endure","nt-r","ntr","","3090",""
"wherever","a-r-e-v","arev","","3092",""
"star","s2-t-a2","sta","","3093",""
"goodness","g-n-e-s","gnes","","3096",""
"steadily","s2-td-ya","stdya","","3097",""
"election","e-l-e-k-sh","elekz","","3099",""
"buildings","bld-/-s2","blds","","3104",""
"presents","p-r-s","prs","","3105",""
"poets","p-o-e-t-s","pyts","","3108",""
"mood","m-u-d","mud","","3109",""
"folk","f-o-k","fok","","3111",""
"central","s2-n-/-l","snl","","3112",""
"succeed","s2-u-k-d","sukd","","3113",""
"Scotland","s2-k-o-t","skot","","3114",""
"exchange","e-s2-ch","xc","","3115",""
"beaten","b-e-tn","betn","","3116",""
"application","a-pl-sh","aplz","","3118",""
"match","m-a-ch","mac","","3119",""
"ours","r-s2","rs","","3120",""
"owe","o","o","","3123",""
"remote","r-e-m-o-t","remot","","3124",""
"safely","s2-a-f-e","safe","","3126",""
"sins","s2-e-n-s","sens","","3129",""
"Mexico","m-e-x","mex","","3130",""
"whereas","a-r-s","ars","","3131",""
"folly","f-o-l-e","fole","","3133",""
"bottle","b-o-t-l","botl","","3136",""
"dwell","d-w-e-l","dwel","","3138",""
"gather","g-a-th","gah","","3140",""
"distress","d-s-/-s","dss","","3141",""
"card","k-a2-d","kad","","3144",""
"mistaken","m-s2-t","mst","","3145",""
"ability","a-/-b","ab","","3147",""
"definite","df-n","dfn","","3149",""
"poverty","p-o-v","pov","","3150",""
"wave","u-a-v","uav","","3151",""
"describe","d-s2-k-r","dskr","","3152",""
"activity","a-k-v-t-e","akvte","","3153",""
"tiny","t-i-n-e","tine","","3154",""
"shoes","sh-u-s","zus","","3158",""
"resistance","r-ss2-n-s","rssns","","3159",""
"commission","k-m-sh","kmz","","3161",""
"tot","t-o-t","tot","","3162",""
"receipt","r-e-s-e","rese","","3163",""
"butter","b-u-t-e2","bute","","3165",""
"burn","b-e2-n","ben","","3169",""
"bay","b-a","ba","","3172",""
"exhausted","e-s2-o-s-/-t","xost","","3175",""
"hungry","^-h-\-u-ng-r-e","hungre","","3176",""
"include","e-/-d","ed","","3178",""
"manage","mn-j","mnj","","3179",""
"county","k-t-e","kte","","3180",""
"decide","d-s2-i","dsi","","3181",""
"coach","k-o-ch","koc","","3182",""
"determine","e2-mn","emn","","3183",""
"gloomy","g-l-u-m-e","glume","","3184",""
"genuine","j-e-n-u-n","jenun","","3185",""
"examine","e-s2-a-mn","xamn","","3186",""
"settlement","s2-e-t-l-m","setlm","","3187",""
"lightly","l-ia","lia","","3189",""
"tendency","tn-tn-se","tntnse","","3190",""
"relative","r-e-l","rel","","3192",""
"wherein","a2-n","an","","3193",""
"furniture","f-n-e-t-r","fnetr","","3194",""
"conception","k-s-e-p-sh","ksepz","","3203",""
"inspired","n-s-p-i-/-t","nspit","","3204",""
"corrupt","k-o-r-p","korp","","3206",""
"overcome","o-/-k-m","okm","","3207",""
"deeds","d-e-d-s","deds","","3208",""
"lift","l-e-f-t","left","","3210",""
"cottage","k-o-t-j","kotj","","3213",""
"historical","^-h-\-e-s2-t-r-/-k","hestrk","","3215",""
"seed","s2-e-d","sed","","3223",""
"lively","l-a-v-e","lave","","3225",""
"fitted","f-e-td","fetd","","3226",""
"leg","l-e-g","leg","","3228",""
"bears","b-a-r-s","bars","","3233",""
"deliver","d-l","dl","","3234",""
"fortunate","f-tn-a-t","ftnat","","3242",""
"bag","b-a-g","bag","","3247",""
"contrast","k-/-s","ks","","3248",""
"purple","p-r-pl","prpl","","3249",""
"payment","p-a-m","pam","","3250",""
"represent","r-p","rp","","3252",""
"shock","sh-o-k","zok","","3255",""
"apartment","a-p-t-m","aptm","","3256",""
"suitable","s2-u-t-b","sutb","","3257",""
"guest","g-e-s2-t","gest","","3260",""
"desires","d-s-s","dss","","3263",""
"Jerusalem","j-e-r-u-s","jerus","","3265",""
"equipment","e-k-w-e-p-m","ekwepm","","3266",""
"sunshine","s2-n-sh-i-n","snzin","","3270",""
"obvious","o-b-v","obv","","3273",""
"respectable","r-e-s-b","resb","","3274",""
"admirable","a-m-e-r-b","amerb","","3275",""
"plate","pl-a-t","plat","","3278",""
"derivative","d-r-e-v","drev","","3281",""
"feels","f-e-l-s","fels","","3283",""
"clerk","k-l-r","klr","","3285",""
"newspaper","n-s-p","nsp","","3286",""
"stuff","s2-t-u-f","stuf","","3287",""
"track","t-r-a-k","trak","","3288",""
"poems","p-o-e-m-s","pyms","","3290",""
"plays","pl-a-s","plas","","3291",""
"pick","p-e-k","pek","","3293",""
"heavens","^-h-\-e-v-n-s","hevns","","3296",""
"flag","fl-a-g","flag","","3300",""
"yard","a-rd","ard","","3304",""
"assist","ss2-t","sst","","3305",""
"magic","m-a-j-k","majk","","3306",""
"instances","n-s-s","nss","","3310",""
"solicit","s2-o-l-e-s2-t","solest","","3311",""
"suspect","ss-/-k","ssk","","3312",""
"ugly","u-g-e","uge","","3314",""
"campaign","k-a-m-p-a-n","kampan","","3316",""
"roll","r-o-l","rol","","3317",""
"thereof","th2-o","ho","","3318",""
"testimony","t-e-s2-tm-e","testme","","3320",""
"feed","f-e-d","fed","","3321",""
"recognize","r-k-n-i-s","rknis","","3326",""
"realize","r-e-l-i-s","relis","","3327",""
"rope","r-o-p","rop","","3331",""
"finish","f-e-n-sh","fenz","","3333",""
"owed","o-d","od","","3339",""
"performance","p-r-f-mn-s","prfmns","","3341",""
"motive","m-o-df","modf","","3343",""
"leads","l-e-d-s","leds","","3344",""
"civilization","s2-v-e-s-a-sh","svesaz","","3345",""
"regards","r-es","res","","3346",""
"mostly","m-o-e","my","","3349",""
"depend","d-jnt","djnt","","3350",""
"recall","r-e-k-o","reko","","3351",""
"resist","r-ss","rss","","3352",""
"handle","^-h-\-nt-l","hntl","","3353",""
"masses","m-a-ss","mass","","3354",""
"lesson","l-e-s2-n","lesn","","3355",""
"discourse","d-s2-k-r-s","dskrs","","3356",""
"enable","e-n-b","enb","","3357",""
"consists","k-ss-s","ksss","","3359",""
"detail","td-a2","tda","","3360",""
"positive","p-o-s2-df","posdf","","3361",""
"unexpected","n-e-s-p-/-t","nespt","","3362",""
"tear","t-e2","te","","3363",""
"inch","n-ch","nc","","3364",""
"estimate","e-s2-tm-a-t","estmat","","3367",""
"feeble","f-e-b","feb","","3369",""
"absurd","a-b-s2-e2-d","absed","","3371",""
"concern","k-s2-e2-n","ksen","","3377",""
"drunk","d-r-nk","drnk","","3378",""
"satisfy","s2-a-t","sat","","3379",""
"financial","f-e-n-a-n","fenan","","3381",""
"thereby","th2-b","hb","","3387",""
"ton","t-n","tn","","3388",""
"administration","a-mn-e-s-sh","amnesz","","3391",""
"specific","s-p-e-s2-k","spesk","","3392",""
"indifferent","n-df","ndf","","3396",""
"create","k-r-ea-t","kreat","","3399",""
"trip","t-r-e-p","trep","","3400",""
"test","t-e-s","tes","","3402",""
"awake","^-h-\-u-a-k","huak","","3403",""
"precisely","p-r-e-ss-e","presse","","3406",""
"finest","f-i-n-e-s","fines","","3409",""
"treasure","t-r-e-sh-u","trezu","","3410",""
"merchant","m-e-ch-t","mect","","3411",""
"inferior","n-f-e-r-r","nferr","","3413",""
"cat","k-a-t","kat","","3415",""
"fun","f-n","fn","","3416",""
"shoot","sh-u-t","zut","","3419",""
"victim","v-e-k-tm","vektm","","3421",""
"lawyer","l-o1-r","lor","","3422",""
"ceremony","s2-e2-mn-e","semne","","3424",""
