"impulse","m-p-l-s","","","2768",""
"available","a-v-a-l-b","","","2769",""
"conviction","k-v-e-k-sh","","","2774",""
"declare","d-e-/-r","","","2775",""
"Russia","r-sh-a","","","2777",""
"port","p-o-t","","","2780",""
"ideal","a-d-e-l","","","2781",""
"haste","^-h-\-a-s2-t","","","2786",""
"route","r-u-t","","","2787",""
"dread","d-r-e-d","","","2788",""
"stayed","s2-t-a-d","","","2790",""
"bell","b-e-l","","","2793",""
"clever","k-l-e-v","","","2794",""
"decision","d-s-e-sh","","","2797",""
"aspect","a-s-p-k","","","2798",""
"western","u-e-s2-tn","","","2799",""
"Bible","b-i-b","","","2800",""
"insisted","n-ss-/-t","","","2801",""
"exist","e-s-e-s","","","2804",""
"silk","s-e-l-k","","","2806",""
"northern","n-o-th-e-n","","","2809",""
"leaned","l-e-nt","","","2812",""
"vote","v-t","","","2819",""
"steady","s2-td-e","","","2824",""
"falls","f-o-s","","","2826",""
"rush","r-sh","","","2828",""
"discussion","d-s2-k-sh","","","2831",""
"referred","r-f-/-t","","","2834",""
"idle","a-d-l","","","2835",""
"yield","e-l-d","","","2836",""
"characteristic","k-a-k-/-s2-t","","","2840",""
"rear","r-e-r","","","2842",""
"ambition","a-m-b","","","2845",""
"profound","p-r-f-nt","","","2847",""
"occur","o-k-r","","","2848",""
"observation","o-b-s-e-sh","","","2852",""
"sensible","s2-e-n-s-b","","","2853",""
"comment","k-mn-t","","","2854",""
"senate","s2-e-n-a-t","","","2855",""
"scientific","s2-ia-n-df","","","2856",""
"burden","b-e2-tn","","","2860",""
"scenes","s2-e-n-s","","","2861",""
"district","d-s-/-k","","","2862",""
"ocean","o-sh","","","2869",""
"communication","k-m-u","","","2870",""
"rested","r-e-s-/-t","","","2871",""
"uniform","e-u-n-f-m","","","2873",""
"gratitude","g-r-a-t","","","2874",""
"council","k-s-e-l","","","2875",""
"humanity","^-h-\-e-u-m-/-nt","","","2878",""
"mankind","m-a-n-k-i","","","2879",""
"perceive","p-r-s-e","","","2882",""
"useless","e-u-l","","","2883",""
"enthusiasm","n-th-u-s","","","2884",""
"exceedingly","e-s2-e-d-/-e","","","2885",""
"fix","f-e-x","","","2887",""
"venture","v-nt-r","","","2889",""
"Christmas","k-r-e-s","","","2890",""
"critical","k-r-/-ya","","","2892",""
"nearest","n-e2-/-s2-t","","","2894",""
"errors","e-r-r-s","","","2896",""
"notwithstanding","n-e-th-s","","","2897",""
"hers","e-r-s","","","2899",""
"shake","sh-a-k","","","2900",""
"staff","s2-t-a-f","","","2903",""
"southern","s2-u-th-e-n","","","2906",""
"prospect","p-r-p-k","","","2907",""
"instrument","n-s-/-m","","","2908",""
"territory","t-e-r-e","","","2911",""
"continually","k-tn-l-e","","","2913",""
"slightest","s-l-i-s2-t","","","2916",""
"odd","o-d","","","2917",""
"cheerful","ch-e2-f","","","2918",""
"pipe","p-i-p","","","2919",""
"somehow","s2-m-a-u","","","2921",""
"luck","l-u-k","","","2922",""
"hurry","^-h-\-e-r-e","","","2923",""
"sole","s2-o-l","","","2924",""
"cap","k-a-p","","","2925",""
"grateful","g-r-a-t-f","","","2926",""
"capacity","k-a-p-/-s2","","","2927",""
"daughters","d-o-t-ye2","","","2928",""
"edition","e-d-sh","","","2932",""
"arrangement","a-r-a","","","2933",""
"settle","s2-e-t-l","","","2937",""
"counsel","k-s-e-l","","","2942",""
"interview","n-/-v-e-u","","","2943",""
"community","k-/-nt","","","2944",""
"organization","o-g","","","2945",""
"nights","n-i-s","","","2946",""
"bless","b-l-e-s","","","2947",""
"seriously","s-e-r-s-e","","","2948",""
"display","d-s-p-l-a","","","2952",""
"accordingly","a-k-r-/-e","","","2953",""
"college","k-o-l-e-j","","","2954",""
"incident","n-s2-e-tn","","","2958",""
"correct","k-r","","","2961",""
"pen","p-n","","","2963",""
"fearful","f-e-r-f","","","2967",""
"supreme","s-/-m","","","2968",""
"pressure","p-r-e-sh-u","","","2969",""
"prevented","p-r-e-v-nt-d","","","2970",""
"infinite","n-f-e-n-e-t","","","2972",""
"contains","k-tn-s","","","2973",""
"noted","n-o-td","","","2974",""
"multitude","m-u-/-t-u","","","2976",""
"rid","r-e-d","","","2977",""
"senses","s2-e-n-ss","","","2978",""
"defend","df-nt","","","2979",""
"hang","^-h-\-a-ng","","","2980",""
"deed","d-e-d","","","2986",""
"chain","ch-a-n","","","2989",""
"writes","r-i-s","","","2990",""
"knife","n-i-f","","","2991",""
"Mississippi","m-e-ss","","","2992",""
"studied","s2-td-e-d","","","2993",""
"maintained","mn-tn-d","","","2994",""
"fears","f-e-r-s","","","2995",""
"annual","a-n-l","","","2999",""
"failure","f-a-l-r","","","3002",""
"commerce","k-m-ye2","","","3003",""
"consequently","k-s2-e-k-e","","","3004",""
"confined","k-f-i-nt","","","3007",""
"issued","e-sh-u-d","","","3008",""
"widow","u-e-d-o","","","3011",""
"repeat","r-p-e","","","3013",""
"industry","nt-s","","","3015",""
"arrive","a-r-i","","","3017",""
"Saturday","s2-a-t","","","3018",""
"intense","n-tn-s","","","3021",""
"somebody","s2-m-b-o","","","3023",""
"intimate","n-tm-a-t","","","3025",""
"hated","^-h-\-a-td","","","3026",""
"contempt","k-tm-t","","","3027",""
"unusual","nu-sh","","","3028",""
"holds","^-h-\-o-ld-s","","","3029",""
"suspected","ss-/-k-t","","","3031",""
"landed","l-a-nt-d","","","3034",""
"ate","a-t","","","3037",""
"moreover","^-m-o","","","3039",""
"merit","m-e2-t","","","3040",""
"stir","s2-t-e2","","","3041",""
"intelligent","n-/-jnt","","","3042",""
"Africa","a-f-r","","","3043",""
"gross","g-r-o-s","","","3045",""
"average","a-v-r-j","","","3046",""
"meanwhile","mn-i2","","","3049",""
"damage","tm-j","","","3051",""
"element","e-l-e-m","","","3052",""
"coffee","k-o-f-e","","","3056",""
"exception","s-e-p-sh","","","3061",""
"bid","b-d","","","3062",""
"largely","l-a-j-e","","","3067",""
"sailed","s-a-ld","","","3071",""
"fever","f-e-v-r","","","3074",""
"announcement","a-n-n-s2-m","","","3075",""
"problem","p-r-b-l","","","3076",""
"parted","p-t-/-t","","","3077",""
"tent","tn-t","","","3080",""
"signed","s2-i-nt","","","3084",""
"cent","s2-e-nt","","","3085",""
"debt","td","","","3086",""
"passes","p-a-ss","","","3092",""
"sounded","s2-nt-d","","","3094",""
"cape","k-a-p","","","3095",""
"scarce","s2-k-r-s","","","3096",""
"provision","p-r-v-e-sh","","","3099",""
"generation","j-e-n-r-a-sh","","","3100",""
"sisters","ss2-t-ye2","","","3102",""
"profession","p-r-f-e-sh","","","3103",""
"conducted","k-d-u-k-t","","","3108",""
"queer","k-w-e-r","","","3116",""
"interior","n-/-o-r","","","3118",""
"cook","k-u-k","","","3120",""
"holder","^-h-\-o-ld-r","","","3121",""
"residence","r-e-s2-e-tn-s","","","3122",""
"harmless","^-h-\-a2-m-l","","","3123",""
"gifts","g-e-f-t-s","","","3125",""
"establishment","e-s2-t-b-m","","","3126",""
"execution","e-s2-k-sh","","","3127",""
"swear","s2-u-a-r","","","3128",""
"nurse","n-e-r-s","","","3129",""
"shed","sh-e-d","","","3130",""
"cabin","k-a-b-n","","","3131",""
"obey","o-b-a","","","3134",""
"marks","m-a-r-k-s","","","3138",""
"completed","kp-/-t","","","3139",""
"aim","a-m","","","3141",""
"supplied","s-p-l-i-d","","","3143",""
"politics","p-o-l-/-a-s","","","3146",""
"standard","s2-tn-a-d","","","3148",""
"possibility","p-o-s-/-b","","","3149",""
"pains","p-a-n-s","","","3150",""
"alarm","a-l-a-m","","","3151",""
"empire","m-p-i","","","3153",""
"masters","m-a-s-s","","","3154",""
"crew","k-r-u","","","3155",""
"signal","s2-g-n","","","3158",""
"row","r-o","","","3159",""
"outer","a-u-r","","","3160",""
"hid","^-h-\-e-d","","","3163",""
"operation","o-p-r-a-sh","","","3164",""
"lamp","l-a-m-p","","","3165",""
"pull","p-u-l","","","3166",""
"tail","t-a-l","","","3167",""
"exists","e-ss-s","","","3168",""
"reflection","r-f-l-sh","","","3169",""
"quarrel","k-w-o-r-e-l","","","3171",""
"forever","f-/-e-v","","","3172",""
"rarely","r-a-r-e","","","3173",""
"torn","t-o-r-n","","","3174",""
"bar","b-a-r","","","3176",""
"oath","o-th2","","","3179",""
"registered","r-e2-j-e2-s2-t-e2-d","","","3180",""
"security","s2-e-k-/-r","","","3181",""
"endure","nt-r","","","3185",""
"wherever","a-r-e-v","","","3187",""
"star","s2-t-a2","","","3188",""
"goodness","g-n-e-s","","","3191",""
"steadily","s2-td-ya","","","3192",""
"election","e-l-e-k-sh","","","3194",""
"buildings","b-ld-/-s2","","","3199",""
"presents","p-r-s","","","3200",""
"poets","p-o-e-t-s","","","3203",""
"mood","m-u-d","","","3204",""
"folk","f-o-k","","","3206",""
"central","s2-n-/-l","","","3207",""
"succeed","s2-u-k-d","","","3208",""
"Scotland","s2-k-o-t","","","3209",""
"exchange","e-s2-ch","","","3210",""
"beaten","b-e-tn","","","3211",""
"application","a-p-l-sh","","","3213",""
"match","m-a-ch","","","3214",""
"ours","r-s2","","","3215",""
"owe","o","","","3218",""
"remote","r-e-m-o-t","","","3219",""
"safely","s2-a-f-e","","","3221",""
"sins","s2-e-n-s","","","3224",""
"Mexico","m-e-x","","","3225",""
"whereas","a-r-s","","","3226",""
"folly","f-o-l-e","","","3228",""
"bottle","b-o-t-l","","","3231",""
"dwell","d-w-e-l","","","3233",""
"gather","g-a-th","","","3235",""
"distress","d-s-/-s","","","3236",""
"card","k-a2-d","","","3239",""
"mistaken","m-s2-t","","","3240",""
"ability","a-/-b","","","3242",""
"definite","df-n","","","3244",""
"poverty","p-o-v","","","3245",""
"wave","u-a-v","","","3246",""
"describe","d-s2-k-r","","","3247",""
"activity","a-k-v-t-e","","","3248",""
"tiny","t-i-n-e","","","3249",""
"shoes","sh-u-s","","","3253",""
"resistance","r-ss2-n-s","","","3254",""
"commission","k-m-sh","","","3256",""
"tot","t-o-t","","","3257",""
"receipt","r-e-s-e","","","3258",""
"butter","b-u-t-e2","","","3260",""
"burn","b-e2-n","","","3264",""
"bay","b-a","","","3267",""
"exhausted","e-s2-o-s-/-t","","","3270",""
"hungry","^-h-\-u-ng-r-e","","","3271",""
"include","e-/-d","","","3273",""
"manage","mn-j","","","3274",""
"county","k-t-e","","","3275",""
"decide","d-s2-i","","","3276",""
"coach","k-o-ch","","","3277",""
"determine","e2-mn","","","3278",""
"gloomy","g-l-u-m-e","","","3279",""
"genuine","j-e-n-u-n","","","3280",""
"examine","e-s2-a-mn","","","3281",""
"settlement","s2-e-t-l-m","","","3282",""
"lightly","l-ia","","","3284",""
"tendency","tn-tn-se","","","3285",""
"relative","r-e-l","","","3287",""
"wherein","a2-n","","","3288",""
"furniture","f-n-e-t-r","","","3289",""
"conception","k-s-e-p-sh","","","3298",""
"inspired","n-s-p-i-/-t","","","3299",""
"corrupt","k-o-r-p","","","3301",""
"overcome","o-/-k-m","","","3302",""
"deeds","d-e-d-s","","","3303",""
"lift","l-e-f-t","","","3305",""
"cottage","k-o-t-j","","","3308",""
"historical","^-h-\-e-s2-t-r-/-k","","","3310",""
"seed","s2-e-d","","","3318",""
"lively","l-a-v-e","","","3320",""
"fitted","f-e-td","","","3321",""
"leg","l-e-g","","","3323",""
"bears","b-a-r-s","","","3328",""
"deliver","d-l","","","3329",""
"fortunate","f-tn-a-t","","","3337",""
"bag","b-a-g","","","3342",""
"contrast","k-/-s","","","3343",""
"purple","p-r-p-l","","","3344",""
"payment","p-a-m","","","3345",""
"represent","r-p","","","3347",""
"shock","sh-o-k","","","3350",""
"apartment","a-p-t-m","","","3351",""
"suitable","s2-u-t-b","","","3352",""
"guest","g-e-s2-t","","","3355",""
"desires","d-s-s","","","3358",""
"Jerusalem","j-e-r-u-s","","","3360",""
"equipment","e-k-w-e-p-m","","","3361",""
"sunshine","s2-n-sh-i-n","","","3365",""
"obvious","o-b-v","","","3368",""
"respectable","r-e-s-b","","","3369",""
"admirable","a-m-e-r-b","","","3370",""
"plate","p-l-a-t","","","3373",""
"derivative","d-r-e-v","","","3376",""
"feels","f-e-l-s","","","3378",""
"clerk","k-l-r","","","3380",""
"newspaper","n-s-p","","","3381",""
"stuff","s2-t-u-f","","","3382",""
"track","t-r-a-k","","","3383",""
"poems","p-o-e-m-s","","","3385",""
"plays","p-l-a-s","","","3386",""
"pick","p-e-k","","","3388",""
"heavens","^-h-\-e-v-n-s","","","3391",""
"flag","f-l-a-g","","","3395",""
"yard","a-rd","","","3399",""
"assist","ss2-t","","","3400",""
"magic","m-a-j-k","","","3401",""
"instances","n-s-s","","","3405",""
"solicit","s2-o-l-e-s2-t","","","3406",""
"suspect","ss-/-k","","","3407",""
"ugly","u-g-e","","","3409",""
"campaign","k-a-m-p-a-n","","","3411",""
"roll","r-o-l","","","3412",""
"thereof","th2-o","","","3413",""
"testimony","t-e-s2-tm-e","","","3415",""
"feed","f-e-d","","","3416",""
"recognize","r-k-n-i-s","","","3421",""
"realize","r-e-l-i-s","","","3422",""
"rope","r-o-p","","","3426",""
"finish","f-e-n-sh","","","3428",""
"owed","o-d","","","3434",""
"performance","p-r-f-mn-s","","","3436",""
"motive","m-o-df","","","3438",""
"leads","l-e-d-s","","","3439",""
"civilization","s2-v-e-s-a-sh","","","3440",""
"regards","r-es","","","3441",""
"mostly","m-o-e","","","3444",""
"depend","d-jnt","","","3445",""
"recall","r-e-k-o","","","3446",""
"resist","r-ss","","","3447",""
"handle","^-h-\-nt-l","","","3448",""
"masses","m-a-ss","","","3449",""
"lesson","l-e-s2-n","","","3450",""
"discourse","d-s2-k-r-s","","","3451",""
"enable","e-n-b","","","3452",""
"consists","k-ss-s","","","3454",""
"detail","td-a2","","","3455",""
"positive","p-o-s2-df","","","3456",""
"unexpected","n-e-s-p-/-t","","","3457",""
"tear","t-e2","","","3458",""
"inch","n-ch","","","3459",""
"estimate","e-s2-tm-a-t","","","3462",""
"feeble","f-e-b","","","3464",""
"absurd","a-b-s2-e2-d","","","3466",""
"concern","k-s2-e2-n","","","3472",""
"drunk","d-r-nk","","","3473",""
"satisfy","s2-a-t","","","3474",""
"financial","f-e-n-a-n","","","3476",""
"thereby","th2-b","","","3482",""
"ton","t-n","","","3483",""
"administration","a-mn-e-s-sh","","","3486",""
"specific","s-p-e-s2-k","","","3487",""
"indifferent","n-df","","","3491",""
"create","k-r-ea-t","","","3494",""
"trip","t-r-e-p","","","3495",""
"test","t-e-s","","","3497",""
"awake","^-h-\-u-a-k","","","3498",""
"precisely","p-r-e-ss-e","","","3501",""
"finest","f-i-n-e-s","","","3504",""
"treasure","t-r-e-sh-u","","","3505",""
"merchant","m-e-ch-t","","","3506",""
"inferior","n-f-e-r-r","","","3508",""
"cat","k-a-t","","","3510",""
"fun","f-n","","","3511",""
"shoot","sh-u-t","","","3514",""
"victim","v-e-k-tm","","","3516",""
"lawyer","l-o1-r","","","3517",""
"ceremony","s2-e2-mn-e","","","3519",""
"ruined","r-u-nt","","","3521",""
"purchase","p-r-ch","","","3524",""
"defect","df-e-k","","","3526",""
"altar","o-t-e2","","","3530",""
"mutual","m-u-t-l","","","3532",""
"construction","k-s2-/-k-s2h","","","3540",""
"cotton","k-o-tn","","","3541",""
"sale","s-a-l","","","3544",""
"eaten","e-tn","","","3545",""
"shortly","sh-/-e","","","3546",""
"favorite","f-a-/-e-t","","","3547",""
"suggest","s2-u-g","","","3548",""
"maiden","m-a-tn","","","3551",""
"convey","k-v-a","","","3553",""
"absent","a-b-s","","","3554",""
"basis","b-a-ss","","","3556",""
"elected","e-l-e-k-t","","","3557",""
"teacher","t-e2-ch-e2","","","3559",""
"exquisite","e-s2-k-e-s2-t","","","3568",""
"resources","r-s2-o-s2s2","","","3571",""
"happens","^-h-\-a-p-n-s","","","3572",""
"claimed","k-l-a-mt","","","3573",""
"earliest","e-r-e-s","","","3574",""
"prosperity","p-r-p-/-r","","","3575",""
"adventure","a-v-nt-r","","","3579",""
"employment","m-p-l-m","","","3581",""
"passionate","p-a-sh-a-t","","","3583",""
"jealous","j-e-l-u-s","","","3585",""
"novel","n-o-v","","","3587",""
"conceal","k-s-e-l","","","3588",""
"silly","s-e-l-e","","","3589",""
"Christianity","k-r-e-s-ch-/-n-t","","","3590",""
"intercourse","n-/-k-r-s","","","3594",""
"badly","b-d-e","","","3595",""
"estimated","e-s2-tm-a-td","","","3596",""
"responsible","r-s-p","","","3603",""
"accompany","a-k-p-e","","","3604",""
"propose","p-r-p-o","","","3605",""
"someone","s2-m-u-n","","","3606",""
"assume","a-s2-m","","","3609",""
"cure","k-e-u","","","3611",""
"misfortune","m-s2-f-tn","","","3612",""
"occupation","o-kp","","","3614",""
"pretended","p-r-e-tn-/-t","","","3616",""
"autumn","o-tm","","","3617",""
"missed","m-e-s2-t","","","3619",""
"privilege","p-r-e-v","","","3621",""
"simplicity","s2-e-m-p-/-s2","","","3623",""
"extensive","e-s2-tn-s2-v","","","3626",""
"consisted","k-ss-/-t","","","3628",""
"dearest","d-e2-/-s2-t","","","3630",""
"scale","s2-k-a-l","","","3631",""
"furnish","f-n-sh","","","3632",""
"vanity","v-/-nt","","","3636",""
"hostile","^-h-\-o-s2-t-l","","","3638",""
"balance","b-a-l","","","3639",""
"republic","r-p","","","3641",""
"doubtful","d-a-u-f","","","3644",""
"ministers","mn-e-s2-t-ye2","","","3645",""
"data","d-a-t-a","","","3649",""
"responsibility","r-p-/-b","","","3650",""
"reminded","r-e-m-i-n-/-t","","","3653",""
"burnt","b-e2-n-t","","","3656",""
"submit","s2-m-e-t","","","3662",""
"occasional","k-a-sh-l","","","3664",""
"physician","f-e-s-e-sh","","","3667",""
"job","j-o-b","","","3669",""
"deadly","td-e","","","3670",""
"introduction","n-/-d-u-k","","","3673",""
"inquiry","n-k-i","","","3674",""
"independence","nt-p","","","3675",""
"earnestly","e2-n-s-e2","","","3681",""
"sincere","s2-e-n-s-e","","","3683",""
"publication","p-b-sh","","","3684",""
"fed","f-e-d","","","3686",""
"eastern","e-s2-tn","","","3687",""
"puts","p-s","","","3688",""
"student","s2-t-u-tn","","","3689",""
"comparison","k-p-r-s2-n","","","3691",""
"boots","b-u-t-s","","","3692",""
"slip","s-l-e-p","","","3693",""
"offices","o-ss2","","","3695",""
"indicated","nt-e-k-/-t","","","3697",""
"invitation","n-v-e-t-sh","","","3698",""
"chest","ch-e-s2-t","","","3702",""
"impressed","m-p-r-e-s2-t","","","3706",""
"procession","p-r-s-e-sh","","","3708",""
"external","e-s-/-n-l","","","3709",""
"defeat","df-e-t","","","3711",""
"destined","d-s2-tn-d","","","3712",""
"federal","f-e-d-r-l","","","3715",""
"reckon","r-e-k-n","","","3718",""
"grain","g-r-a-n","","","3723",""
"combined","k-b-i-/-t","","","3724",""
"club","k-l-b","","","3725",""
"wire","i-r","","","3727",""
"accused","a-k-e-u-/-t","","","3729",""
"elsewhere","l-s-a-r","","","3730",""
"conflict","k-f-l","","","3731",""
"entertained","n-/-tn-d","","","3732",""
"prize","p-r-i-s","","","3738",""
"stupid","s2-t-p-d","","","3739",""
"perfection","p-r-f-s2h","","","3745",""
"dirty","d-e2-t-e","","","3746",""
"helpless","^-h-\-e-l-p-l","","","3751",""
"mount","mn-t","","","3753",""
"curse","k-u-r-s","","","3754",""
"correspondence","k-r-e-s","","","3762",""
"baron","b-a-r-n","","","3764",""
"railway","r-l","","","3770",""
"largest","l-a-j-e-s","","","3772",""
"dollar","d-o","","","3773",""
"musical","m-u-s-/-k","","","3775",""
"model","m-o-d-l","","","3776",""
"coarse","k-r-s","","","3777",""
"mild","m-i-ld","","","3778",""
"washed","u-o-sh-t","","","3782",""
"composition","k-p-o-sh","","","3785",""
"modest","m-o-d-e-s","","","3786",""
"pays","p-a-s","","","3787",""
"closer","k-l-o-s-e-r","","","3790",""
"perpetual","p-r-p-t-l","","","3791",""
"association","a-s2-o-sh","","","3792",""
"harmony","^-h-\-a2-mn-e","","","3793",""
"counted","k-nt-d","","","3794",""
"intend","n-tn","","","3795",""
"flood","f-l-u-d","","","3797",""
"establish","e-s2-t-b","","","3798",""
"men's","mn-s","","","3799",""
"confused","k-f-e-u-/-t","","","3804",""
"enjoyment","n-j-o-e-m","","","3806",""
"flour","f-l-r","","","3809",""
"monarch","mn-a-r-k","","","3811",""
"messenger","m-e2-s-j-e2","","","3812",""
"talent","t-a-l-e-nt","","","3816",""
"advised","v-i-s2-d","","","3817",""
"exclusion","e-s-/-sh","","","3823",""
"stroke","s2-t-r-o-k","","","3824",""
"discipline","d-s-p-l-e-n","","","3825",""
"mud","m-u-d","","","3826",""
"liberal","l-e-b-e-r","","","3829",""
"pound","p-n","","","3830",""
"feature","f-e-t-r","","","3831",""
"rent","r-e-nt","","","3832",""
"charity","ch-/-r","","","3838",""
"strangely","s2-t-j-e","","","3842",""
"appointment","o-e-m","","","3843",""
"alter","o-t-e2","","","3844",""
"conceive","k-s-e","","","3845",""
"gas","g-a-s","","","3846",""
"committee","k-e-t-e","","","3847",""
"sheet","sh-e-t","","","3848",""
"citizen","s2-e-t-s","","","3849",""
"international","n-/-n-a-sh-l","","","3856",""
"farmer","f-a2-m-e2","","","3858",""
"instruction","n-s-/-k-sh","","","3864",""
"intellect","n-/-e-k","","","3865",""
"namely","n-a-e","","","3873",""
"behalf","b-f","","","3874",""
"Austria","o-s-/-a","","","3875",""
"clock","k-l-o-k","","","3877",""
"reserve","r-s2-e-v","","","3880",""
"revolution","r-v-o-l-sh","","","3882",""
"proposition","p-r-p-o-sh","","","3883",""
"arrange","a-r-a","","","3884",""
"score","s2-k-o-r","","","3886",""
"engagement","n-g-a-m","","","3888",""
"situated","s2-e-t-e-u-td","","","3892",""
"glow","g-l-o","","","3895",""
"dreamed","d-r-e-mt","","","3896",""
"revenge","r-v-e-n-j","","","3903",""
"vulgar","v-u-g-r","","","3904",""
"careless","k-a2-l","","","3906",""
"sore","s2-o-r","","","3907",""
"comparatively","k-p-r-v-e","","","3910",""
"tremendous","t-r-e-mn-s","","","3911",""
"undoubtedly","n-d-a-u-/-t-e","","","3912",""
"ridiculous","r-e-d-e-k","","","3916",""
"convenient","k-v-e-n","","","3917",""
"meantime","mn-tm","","","3920",""
"inform","n-f","","","3923",""
"uncertain","n-s2-e-tn","","","3929",""
"disappointed","d-o-e-/-t","","","3930",""
"leisure","l-e-sh-u","","","3932",""
"inn","e-n","","","3933",""
"reception","r-s-e-p-sh","","","3934",""
"column","k-o-l-m","","","3935",""
"affectionate","a-f-k-sh-a-t","","","3937",""
"railroad","r-r","","","3938",""
"wages","a-j-s","","","3939",""
"moderate","m-o-d","","","3940",""
"indifference","n-df","","","3942",""
"neglect","n-e-g","","","3943",""
"unlike","n-l-a","","","3944",""
"dig","d-e-g","","","3950",""
"employ","m-p-l","","","3951",""
"temporary","tm-p-r-r-e","","","3953",""
"satisfactory","s2-a-t","","","3954",""
"identify","a-tn-df","","","3955",""
"trained","t-r-a-nt","","","3956",""
"assembly","a-s2-e-m","","","3957",""
"wheel","^-h-\-u-e-l","","","3958",""
"platform","p-l-a-t-f-m","","","3960",""
"disgrace","d-s2-g-r-a-s","","","3961",""
"wake","u-a-k","","","3962",""
"economic","e-k-e-k","","","3965",""
"arrangements","a-r-a-s","","","3966",""
"assurance","a-sh-u-n-s","","","3967",""
"quit","k-w-e-t","","","3968",""
"exempt","e-s2-e-mt","","","3972",""
"injury","n-j-u","","","3973",""
"reverence","r-e-v","","","3974",""
"medical","m-e-d-/-k","","","3975",""
"funeral","f-e-u-n-r-l","","","3976",""
"objection","o-b-sh","","","3980",""
"cares","k-as","","","3981",""
"knights","n-i-s","","","3985",""
"pretend","p-r-e-tn","","","3986",""
"Ohio","o","","","3988",""
"preparation","p-r-e-p-sh","","","3989",""
"vital","v-i-t-l","","","3994",""
"deserve","d-s2-e-v","","","3995",""
"warned","u-o-nt","","","3998",""
"tragedy","t-r-a-j-d-e","","","4006",""
"amusement","a-m-u-s2-m","","","4009",""
"formal","f-m-l","","","4010",""
"pink","p-e-nk","","","4012",""
"desk","d-e-s2-k","","","4014",""
"impatient","m-p-a-sh-t","","","4016",""
"calculate","k-a-l","","","4022",""
"solution","s2-o-l-sh","","","4023",""
"internal","n-/-n-l","","","4024",""
"restless","r-e-s-l","","","4025",""
"owned","o-nt","","","4028",""
"parish","p-a-r-sh","","","4031",""
"income","n-k-m","","","4032",""
"attained","a-tn-d","","","4033",""
"dine","d-i-n","","","4036",""
"distinguish","d-s2-t","","","4037",""
"lasted","l-a-s-/-t","","","4038",""
"criticism","k-r-e-t-ss","","","4039",""
"dispute","d-s-p-u","","","4040",""
"culture","k-l-t-r","","","4053",""
"romance","r-o-mn-s","","","4054",""
"artillery","a2-t-e-l","","","4058",""
"persuade","p-r-s-w-a-d","","","4061",""
"metal","m-e-t-l","","","4062",""
"wont","o-nt","","","4065",""
"countess","k-nt-e-s","","","4068",""
"dramatic","d-r-a-m-/-a","","","4071",""
"abide","a-b-i","","","4074",""
"Massachusetts","m-a-s","","","4076",""
"leaf","l-e-f","","","4078",""
"disappointment","d-o-e-m","","","4079",""
"hospital","^-h-\-o-s-p-t-l","","","4081",""
"proceeding","p-r-s-e-\-h","","","4084",""
"blew","b-l-u","","","4086",""
"stuck","s2-t-u-k","","","4087",""
"paint","p-a-nt","","","4089",""
"ample","a-m-p","","","4091",""
"admire","m-i2","","","4093",""
"visitor","v-e2-s2-e2-t-e2","","","4095",""
"justly","j-u-s-e","","","4098",""
"translation","t-/-l-a-sh","","","4102",""
"representative","r-p-df","","","4105",""
"department","/-d","","","4106",""
"easier","e-s-e-r","","","4107",""
"Atlantic","a-t-l-a-nt","","","4108",""
"acknowledge","a-k","","","4111",""
"maybe","m-a-b","","","4113",""
"strict","s2-t-r-k","","","4120",""
"renewed","r-e-n-u-d","","","4122",""
"professional","p-r-f-e-sh-l","","","4126",""
"steam","s2-t-e-m","","","4128",""
"grandfather","g-/-f-a-th2","","","4129",""
"mail","m-a2","","","4136",""
"remainder","r-e2-mn-e2","","","4141",""
"heap","^-h-\-e-p","","","4144",""
"trick","t-r-e-k","","","4145",""
"executive","e-s2-e-k-v","","","4146",""
"prominent","p-r-o-mn","","","4148",""
"candle","k-d-l","","","4151",""
"glimpse","g-l-e-m-s","","","4153",""
"farewell","f-a-r-l","","","4154",""
"obscure","o-b-s2-k-r","","","4155",""
"powder","p-a-u-d-e2","","","4156",""
"purely","p-e-u-e","","","4157",""
"effective","f-k-v","","","4159",""
"lightning","l-i-n-\-h","","","4161",""
"surrender","s-e-r-e-nt","","","4162",""
"govern","g-v","","","4165",""
"cardinal","k-a-tn-l","","","4168",""
"shell","sh-e-l","","","4172",""
"chairs","ch-ya2","","","4174",""
"chances","ch-a-n-ss","","","4176",""
"refer","r-f","","","4177",""
"subsequent","s-s2-e-k","","","4179",""
"wash","u-o-sh","","","4180",""
"recover","r-e-k-v","","","4181",""
"poison","p-o-e-s2-n","","","4183",""
"lieutenant","l-u-tn-nt","","","4184",""
"incapable","n-k-a-p","","","4188",""
"foe","f-o","","","4191",""
"gladly","g-l-e","","","4192",""
"maximum","m-a-x-mn","","","4193",""
"pile","p-i-l","","","4197",""
"protected","p-r-o-t-e-k-t","","","4199",""
"assigned","a-s2-i-nt","","","4216",""
"climate","k-l-i-m-a-t","","","4220",""
"mischief","m-s-ch","","","4222",""
"therein","th2-n","","","4227",""
"coal","k-o-l","","","4228",""
"product","p-r-o","","","4234",""
"editor","e-td-e2","","","4239",""
"openly","o-p-n-e","","","4241",""
"healthy","^-h-\-e-l-th-e","","","4242",""
"vice","v-i-s","","","4243",""
"garrison","g-a-r-s2-n","","","4245",""
"illness","e-l-n-e-s","","","4249",""
"selfish","s2-/-s2h","","","4254",""
